room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
14690447,1344,31861545,Entire home/apt,,Edinburgh,,Tollcross,3,5.0,6,2.0,,329.0,,West Bow Apartment,2017-06-16 14:02:08.059438,55.949141,-3.194525,0101000020E610000003098A1F638E09C07825C9737DF94B40
641460,1344,2989965,Entire home/apt,,Edinburgh,,Newhaven,18,4.5,5,2.0,,393.0,,Family Serviced Apartment,2017-06-16 14:02:08.050169,55.987313,-3.187997,0101000020E61000000AF83592048109C034F5BA4560FE4B40
622532,1344,173941,Entire home/apt,,Edinburgh,,Broughton,95,4.5,9,3.0,,393.0,,"Luxury, City Centre, Free Wifi - G",2017-06-16 14:02:08.047818,55.962883,-3.186316,0101000020E6100000B5C5353E937D09C0EB6F09C03FFB4B40
10980081,1344,33181664,Entire home/apt,,Edinburgh,,New Town,34,5.0,9,4.0,,420.0,,Luxury Georgian City Centre Living,2017-06-16 14:02:08.040932,55.958796,-3.198802,0101000020E6100000FF08C380259709C08FC4CBD3B9FA4B40
3681209,1344,18713384,Entire home/apt,,Edinburgh,,New Town,54,5.0,8,4.0,,381.0,,North Castle Street Flat With Views Over Edinburgh,2017-06-16 14:02:07.026894,55.952812,-3.205225,0101000020E6100000A3923A014DA409C0419E5DBEF5F94B40
3391675,1344,17110668,Entire home/apt,,Edinburgh,,Lorne,37,4.5,14,3.0,,393.0,,La Favorita Apartment - sleeps 14,2017-06-16 14:02:07.018398,55.964638,-3.17558,0101000020E610000048A7AE7C966709C04B3D0B4279FB4B40
3653673,1344,18482074,Entire home/apt,,Edinburgh,,New Town,15,5.0,4,2.0,,354.0,,Elegant City Living!,2017-06-16 14:02:05.937097,55.952868,-3.207778,0101000020E610000055A0168387A909C0D5B32094F7F94B40
14890130,1344,93415511,Entire home/apt,,Edinburgh,,New Town,9,5.0,7,4.0,,459.0,,Luxury City Centre Four Bedroom Townhouse,2017-06-16 14:02:04.548524,55.9522,-3.20602,0101000020E61000004B9352D0EDA509C027A089B0E1F94B40
16296007,1344,14043916,Entire home/apt,,Edinburgh,,New Town,1,0.0,4,2.0,,393.0,,Georgian flat in City Centre,2017-06-16 14:02:04.537757,55.956048,-3.187294,0101000020E61000006DE525FF937F09C0FFB3E6C75FFA4B40
9641083,1344,49854501,Entire home/apt,,Edinburgh,,Broughton,35,5.0,8,4.0,,387.0,,"Modern, newly renovated Edinburgh",2017-06-16 14:02:04.530957,55.960322,-3.192186,0101000020E610000011FE45D0988909C08DD0CFD4EBFA4B40
14482610,1344,84513622,Entire home/apt,,Edinburgh,,New Town,25,5.0,15,4.0,,420.0,,Elegant New Town Apartment,2017-06-16 14:02:04.526063,55.951835,-3.210759,0101000020E610000089B3226AA2AF09C01618B2BAD5F94B40
18547235,1344,87469736,Entire home/apt,,Edinburgh,,Tollcross,0,0.0,10,4.0,,315.0,,Large apartment with Castle views sleeps 10,2017-06-16 14:02:02.973764,55.948038,-3.192101,0101000020E61000002E3BC43F6C8909C0C0AE264F59F94B40
641461,1344,2989965,Entire home/apt,,Edinburgh,,Newhaven,29,4.5,4,2.0,,329.0,,Two Bedroom Serviced Apartment,2017-06-16 14:02:02.948054,55.985678,-3.188921,0101000020E61000008F386403E98209C07F315BB22AFE4B40
13886362,1344,22354783,Entire home/apt,,Edinburgh,,Baberton,0,0.0,8,4.0,,249.0,,Stunning farm steading in Edinburgh's countryside,2017-06-16 14:02:01.217158,55.89824,-3.29526,0101000020E610000022895E46B15C0AC0C2FA3F87F9F24B40
16240315,1344,106161202,Entire home/apt,,Edinburgh,,East Craigs,0,0.0,4,2.0,,263.0,,Lovely 2 Bedroom House,2017-06-16 14:02:00.328970,55.950687,-3.306005,0101000020E6100000C24CDBBFB2720AC0BEDD921CB0F94B40
17138019,1344,115206218,Entire home/apt,,Edinburgh,,South Morningside,0,0.0,6,3.0,,230.0,,Elegant 3 bedroom Forest Mews Apartment,2017-06-16 14:01:58.376039,55.915227,-3.228334,0101000020E6100000D784B4C6A0D309C046B5882826F54B40
7617028,1344,39947936,Entire home/apt,,Edinburgh,,Sciennes,0,0.0,6,3.0,,263.0,,3 Bedroom Apartment Marchmont,2017-06-16 14:01:17.183130,55.938902,-3.193149,0101000020E6100000740AF2B3918B09C01213D4F02DF84B40
2520456,1344,12662921,Entire home/apt,,Edinburgh,,Stockbridge,14,4.5,6,3.0,,210.0,,Stunning 3 bed with Terrace,2017-06-16 14:00:39.585143,55.96065,-3.1992,0101000020E6100000D5E76A2BF69709C082734694F6FA4B40
4143185,1344,14235230,Entire home/apt,,Edinburgh,,Tollcross,6,5.0,6,3.0,,262.0,,Beautiful central Edinburgh flat,2017-06-16 14:00:39.578870,55.943599,-3.201501,0101000020E6100000EFE3688EAC9C09C0E7C41EDAC7F84B40
14795354,1344,39219475,Entire home/apt,,Edinburgh,,Holyrood,0,0.0,4,2.0,,243.0,,"Gorgeous old town apt, Balcony Wifi",2017-06-16 13:59:41.109751,55.951286,-3.177421,0101000020E61000002AFD84B35B6B09C0439259BDC3F94B40
14419416,1344,88720635,Entire home/apt,,Edinburgh,,Meadowbank,2,0.0,5,1.0,,263.0,,Modern apartment,2017-06-16 13:59:02.672329,55.959835,-3.16689,0101000020E61000004B3CA06CCA5509C030478FDFDBFA4B40
12501181,1344,63855917,Entire home/apt,,Edinburgh,,Prestonfield,4,5.0,5,3.0,,216.0,,Lovely 3 bed Victorian home with carparking nearby,2017-06-16 13:58:23.492085,55.935923,-3.168663,0101000020E6100000AB5CA8FC6B5909C080492A53CCF74B40
603502,1344,2711564,Entire home/apt,,Edinburgh,,Holyrood,0,0.0,3,1.0,,190.0,,1 Bedroom 1 Bathroom Apt on the Royal Mile,2017-06-16 13:58:01.909429,55.950966,-3.189284,0101000020E61000009E3F6D54A78309C0D1CDFE40B9F94B40
5631455,1344,29186005,Entire home/apt,,Edinburgh,,Dalry,0,0.0,4,4.0,,197.0,,"Edinburgh 4 bedroom flat, July",2017-06-16 13:58:01.904567,55.944657,-3.223385,0101000020E6100000EF552B137EC909C0FF774485EAF84B40
13125176,1344,67238585,Entire home/apt,,Edinburgh,,Calton,3,4.5,4,1.0,,197.0,,Great apartment in city centre,2017-06-16 13:58:00.268174,55.958114,-3.176668,0101000020E610000071FF91E9D06909C07DEBC37AA3FA4B40
7472063,1344,20199320,Entire home/apt,,Edinburgh,,Prestonfield,3,5.0,4,2.0,,197.0,,Beautiful Sunny Period Family Home,2017-06-16 13:58:00.265075,55.935787,-3.166413,0101000020E6100000B308C556D05409C0CF8250DEC7F74B40
2450998,1344,851172,Entire home/apt,,Edinburgh,,Calton,2,0.0,8,3.0,,197.0,,"Grand, spacious and central GF flat",2017-06-16 13:57:59.303469,55.962121,-3.172668,0101000020E61000009C86A8C29F6109C0BDE5EAC726FB4B40
2491325,1344,12749684,Entire home/apt,,Edinburgh,,Tollcross,6,5.0,5,2.0,,197.0,,Mins walk to Castle+ Views & Peace!,2017-06-16 13:57:59.297626,55.94407,-3.191689,0101000020E61000000806103E948809C03F912749D7F84B40
3643818,1344,10990950,Entire home/apt,,Edinburgh,,Fountainbridge,6,5.0,6,3.0,,197.0,,Charming top-floor flat,2017-06-16 13:57:59.294920,55.939976,-3.204629,0101000020E61000006781768714A309C03083312251F84B40
7081936,1344,30045604,Entire home/apt,,Edinburgh,,Stockbridge,1,0.0,4,1.0,,197.0,,"Flat in central Edinburgh, sleeps 4",2017-06-16 13:57:56.380615,55.959631,-3.210166,0101000020E61000005ED905836BAE09C0289D4830D5FA4B40
1095832,1344,2550832,Entire home/apt,,Edinburgh,,Portobello,15,4.5,5,3.0,,197.0,,The Ramp House with hydrospa,2017-06-16 13:57:56.364382,55.9518,-3.109425,0101000020E61000001CEBE2361AE008C0992A1895D4F94B40
7144052,1344,37408462,Entire home/apt,,Edinburgh,,Restalrig,1,0.0,4,2.0,,197.0,,2 Bedroom with FREE PARKING & WIFI,2017-06-16 13:57:53.790457,55.960456,-3.166275,0101000020E6100000A323B9FC875409C09D9FE238F0FA4B40
14182398,1344,35497517,Entire home/apt,,Edinburgh,,Marchmont,0,0.0,4,2.0,,191.0,,Lovely 2 bed apartment close to festival venues,2017-06-16 13:57:53.787932,55.937065,-3.195428,0101000020E610000011C8258E3C9009C0F59CF4BEF1F74B40
14740099,1344,646220,Entire home/apt,,Edinburgh,,Tollcross,1,0.0,5,2.0,,204.0,,The Cornwall Street Residence,2017-06-16 13:57:53.769818,55.947863,-3.202552,0101000020E610000046EA3D95D39E09C0520B259353F94B40
13275892,1344,74819036,Entire home/apt,,Edinburgh,,Broughton,14,5.0,6,3.0,,197.0,,Central  3 Bedrm Apartment,2017-06-16 13:57:53.764147,55.963616,-3.184939,0101000020E6100000200A664CC17A09C080F3E2C457FB4B40
2249494,1344,1784753,Entire home/apt,,Edinburgh,,New Town,19,4.5,7,4.0,,197.0,,CENTRAL RANDOLPH PLACE EDINBURGH,2017-06-16 13:57:53.761208,55.952397,-3.209762,0101000020E6100000658C0FB397AD09C07DE71725E8F94B40
8116593,1344,42858139,Entire home/apt,,Edinburgh,,Davidsons Mains,2,0.0,9,5.0,,196.0,,Beautiful family home,2017-06-16 13:57:52.496585,55.95617,-3.266297,0101000020E6100000EC2E505260210AC04AB54FC763FA4B40
19224773,1344,4223746,Entire home/apt,,Edinburgh,,Trinity,0,0.0,6,3.0,,195.0,,Beautiful spacious flat with stunning sea views,2017-06-16 13:57:52.487118,55.979795,-3.202618,0101000020E6100000BEA59C2FF69E09C065E42CEC69FD4B40
13043992,1344,24362415,Entire home/apt,,Edinburgh,,Tollcross,5,5.0,4,2.0,,196.0,,Bright 2 Double Bed Flat in Great Location,2017-06-16 13:57:52.484572,55.943631,-3.199721,0101000020E61000006798DA52079909C0F33E8EE6C8F84B40
19025355,1344,70798798,Entire home/apt,,Edinburgh,,Fountainbridge,0,0.0,4,2.0,,197.0,,"Two bedroom apartment, bright/tastefully decorated",2017-06-16 13:57:52.482492,55.937431,-3.207975,0101000020E6100000B515FBCBEEA909C0D7A02FBDFDF74B40
15495290,1344,76283223,Entire home/apt,,Edinburgh,,Tollcross,1,0.0,3,1.0,,197.0,,Heart of Edinburgh's old town,2017-06-16 13:57:52.469832,55.944959,-3.200871,0101000020E6100000F1B73D41629B09C0CA87A06AF4F84B40
13149210,1344,39095445,Entire home/apt,,Edinburgh,,Calton,0,0.0,8,4.0,,197.0,,Beautiful 4 bed Georgian apartment,2017-06-16 13:57:50.628958,55.960178,-3.18546,0101000020E6100000B2BAD573D27B09C05A2BDA1CE7FA4B40
13581959,1344,78399410,Entire home/apt,,Edinburgh,,Broughton,3,5.0,4,2.0,,197.0,,Family friendly lovely apartment,2017-06-16 13:57:50.624626,55.969361,-3.189184,0101000020E61000006669A7E6728309C04982700514FC4B40
17883548,1344,75521448,Entire home/apt,,Edinburgh,,Sciennes,0,0.0,4,2.0,,205.0,,"Central, bright, clean Marchmont flat",2017-06-16 13:57:50.621447,55.940009,-3.194353,0101000020E6100000310917F2088E09C00C79043752F84B40
1838241,1344,6422700,Entire home/apt,,Edinburgh,,Mayfield,5,5.0,2,1.0,,197.0,,Edinburgh City Character Apartment ,2017-06-16 13:57:50.615535,55.931332,-3.176509,0101000020E6100000E998F38C7D6909C0F0DB10E335F74B40
19287174,1344,135065101,Entire home/apt,,Edinburgh,,Fountainbridge,0,0.0,4,0.0,,197.0,,Modern one bedroom flat in Edinburgh polwarth area,2017-06-16 13:57:50.601155,55.939431,-3.219635,0101000020E6100000A774B0FECFC109C09EEC66463FF84B40
19324083,1344,135065101,Entire home/apt,,Edinburgh,,Merchiston,0,0.0,4,1.0,,197.0,,Modern flat in Edinburgh city centre,2017-06-16 13:57:49.179074,55.938427,-3.218896,0101000020E61000003ECDC98B4CC009C079573D601EF84B40
18476727,1344,126474929,Entire home/apt,,Edinburgh,,Broughton,0,0.0,4,2.0,,197.0,,"Great location! central, clean 2 bedroom apartment",2017-06-16 13:57:47.599038,55.962183,-3.185673,0101000020E61000006D003620427C09C033E202D028FB4B40
18271796,1344,43796163,Entire home/apt,,Edinburgh,,Harbour,1,0.0,4,2.0,,197.0,,"Traditional apartment at the Shore, Leith",2017-06-16 13:57:47.596623,55.972888,-3.174181,0101000020E610000036AD1402B96409C0DE550F9887FC4B40
